Date,Tweet,User,Location,Belief,Keywords_used
11/18/2020,I learned today that COVIDtranslates to Kobe in Hebrew And corona translates to gloryBeing a conspiracy theorist is fun until it actually gets weird,b'sophiesaidso',"b'Chicago, IL'",.,keywords
11/18/2020,Im so mad I was really excited to finally go to Mexico for Christmas after 8 years and they canceled our trip fuck you corona,b'estephanie_dl',"b'Oklahoma City, OK'",.,keywords
11/18/2020,dorotheascloset PaceTheRage All we know so far is that both the vaccines to release partial phase 3 data have shown 9095 efficacy at protecting against the corona virus that causes Covid19 Thats amazing and wonderful and will stop the pandemic as long as enough people get vaccinated,b'RealCarlosSagan',b'',.,keywords
11/18/2020,Mood prolly shouldnt be turning up on a corona Tuesday anyway Didnt LA see its shadow and 3 more months of lockdown anyway Los Angeles California,b'JustoInSpace',b'',.,keywords
11/18/2020,dorotheascloset PaceTheRage And one later after I saw initial data but before the amazing data recently,b'RealCarlosSagan',b'',.,keywords
11/18/2020,These 11yr old kids out the park saying the corona vaccine and how it isnt going to work My mama says itll just infect me more then protect meNow I know who is antivaxx in my neighborhood goodbye,b'MamaaKobold',"b'Honolulu, HI'",.,keywords
11/18/2020,Every bitchdude going out to the clubs and not wearing a mask you are a walking corona virus and look like one too Nasty ass,b'JessicaRealRose',"b'Union City, NJ'",.,keywords
11/18/2020,his crew could give him the corona AND jump the fuck out of him,b'kayleeeukulele',"b'Norfolk, VA'",.,keywords
11/18/2020,realDonaldTrump Of course they did WhyBecause the Corona virus occurred on your watch We remember that too Btw what happened with Pence and his task force Guess you guys forgot you are still in office until January 20 2021,b'flamberg_s',b'',.,keywords
11/18/2020,We would like to invite you and your team to the California Holiday Showcase on December 1920 2020 in Corona California This will be a great event for your teams to participate in This tournament will be limited to 12 teams per division,b'MarlonWellsm',"b'San Diego, CA'",.,keywords
11/18/2020,Everyone make sure your loved ones are inside before 959 Pets Siblings Children Neighbors Corona is coming and shes coming with a vengeance,b'jer_collins',b'baltimore',.,keywords
11/18/2020,Humans have gotten so used to the good stuff we actually think we can prevent death Corona is a virus and Death is a natural cycle in our lives the more you try to prevent it the more chaos it spreads The few out way the many in the this case,b'Fredwil86407863',"b'Oregon, USA'",.,keywords
11/18/2020,realDonaldTrump 250000 Americans dead from Corona Virus under your watch 250000 and the virus now surges across the United States while you lie and do nothing while you murder thousandsmillions more of us each day Thats the news the only news,b'altakaker',b'',.,keywords
11/17/2020,Manifesting a fat ass no corona and a beach filled summer 21,b'andreagrzza',b'',.,keywords
11/17/2020,If this corona spike is just fake and their using it until Biden wins so hell look good after he puts us on lock down and itll magically be over after that I wouldnt be surprised,b'bdubs___',"b'Texas, USA'",.,keywords
11/17/2020,Im trying to come to terms with the fact that J Cole announced The Fall Off before corona happened and we just might not get this album this year,b'mariah_goody',b'Dreamville',.,keywords
11/17/2020,How is a shutdown common sense Katy They did that already clearly didnt work Lets do it again and destroy more small businesses and have more people lose jobs Smart After your brilliant idea because you have so much common sense corona will still be here,b'kxithy',b'CLE',.,keywords
11/17/2020,My dad looked me in the face and said Oh what corona only come out at night,b'QuackMane',"b'Toledo, OH'",.,keywords
11/17/2020,Also I need to get back to playing the mobile version of Groove Coaster Knowing how COVID cases are increasing in NJ its probably only a matter of time until the state gets lock down again and that means no Round1 visitsFucking Coronachan still ruining it for everybody,b'djdmob',"b'Deptford, NJ'",.,keywords
11/17/2020,Desstiiney But yea definitely were in the middle of a pandemic and people are dying whether its anyone close to us The flu took my love unexpectedly and corona virus is 3x as contagious Im very precautious and so should everyone else if they dont want a vaccine let it die out,b'CheyPayton',"b'Atlanta, GA'",.,keywords
11/17/2020,my parents are proud of me my girlfriend is proud of me and those that hate me i live rent free in their heads if corona ends up killing me i couldnt have asked for a better end to this life hopefully the next one will be less filled with bullshit however,b'dumbass_emo',b'',.,keywords
